user_id,parent_asin
AGI57GLCJBFNS2UYHAZXDASNP3BA,B09WRF4Y6G
AGG7OADTFRQ3I65S6KBYTQHPZ7MQ,B00O1RTQJE
AEO6D7BEE334ZEDTIXQCO6CJHFBA,B07LFM1TH7
AGBWKGLGJA7CTCQVZOERTTTGCKDQ,B07S764D9V
AGK75AOJP6GW6GYYDMMIKLWBIMMA,B0039BPG1A
AFNRD6DXJZORR337SOAWGZ4T7OQA,B009T3EYHO
AGNIG2L3TGBHG5IYQYNQSAMFKHDA,B077SMC7TN
AGZ5T7AGCNQSH4QSP3KIDJD7CWRA,B093CYLDBP
AHNVN3IQVNMMIR7S4AXK7F6WQHOQ,B07BMJH2XF
AFFWZXEWLW542LX2CGKNCMDJY7IQ,B089PMMT1X
AHR6WE3QUDP5BZXK4ZAWNPIWFC5Q,B0BPWG9DBX
AGSSI6TGQLH7YSR664PHCEHHIPEQ,B017WYDD1Y
AG4FNECAORE65MS3GCX5SZ3OHB5Q,B00MJ1YR8Y
AFCXPDSRPDCGJ5RMCRFJUVIKRC4A,B0BRT3SCLX
AGUTZC4GHLTGYHA3KBEDRF6MHB6A,B09ZKN1KVG
AGB3OE5FIU4V7SVG2K57YPFPJMKA,B00HQWLHJI
AHSDBAKD3YSEYBNEHZEZSYKXUX6A,B07RJ28KYH
AFNVBS5MWTFOLXMY7NBVH4MZKBNA,B0BG75H724
AEEM3ZDFRP7PRUE2JOMYHOVKAQNQ,B0BFM4362X
AHQX5VETC44J6AIZ7O574OIV3D2Q,B092RVYFG2
AFSWTPDGR57E567Y5GSOJKRQUN3Q,B0BXPPZ3MK
AEKTOJE5HT5CH43YCUXULM6Q4FEQ,B0C1BVZHD1
AHETPZNXQ3TBBEMIKANOLSD7JRMA,B07FTSFGXH
AHZTPSUD3LFQ6YNNPEUUTX2QVPFQ,B005NGQWL2
AEWUXF5MVCUTOF5GDDLVLBWSK2VA,B07961C64Q
AF5BYSNHH6CGWP5ROKHFOB7JQLAA,B08F98WSWH
AFTRCTCX3WLLALPQOPDCVM75HLAA,B0864SF4GC
